,Names,Sizes,Names,Sizes,Diff,% Diff
195,rrfs.t05z.sgesprep.tm00,6836286063,rrfs.t05z.sgesprep.tm00,6836286063,0,0.0
196,rrfs.t03z.saphir.tm00.bufr_d.nr,0,rrfs.t03z.saphir.tm00.bufr_d.nr,0,0,
197,obsproc_version_for_t09z_rrfs_dump_run,124,obsproc_version_for_t09z_rrfs_dump_run,124,0,0.0
198,rrfs.t05z.lghtng.tm00.bufr_d.nr,7112,rrfs.t05z.lghtng.tm00.bufr_d.nr,7112,0,0.0
199,rrfs.t06z.acqc_stk.tm00,1954851,rrfs.t06z.acqc_stk.tm00,1954851,0,0.0
200,rrfs.t17z.aircft.tm00.bufr_d,2378160,rrfs.t17z.aircft.tm00.bufr_d,2378160,0,0.0
201,rrfs.t16z.imssnow.grib2,9816830,rrfs.t16z.imssnow.grib2,9816830,0,0.0
202,rrfs.t07z.esamua.tm00.bufr_d,644960,rrfs.t07z.esamua.tm00.bufr_d,644960,0,0.0
203,rrfs.t19z.esiasi.tm00.bufr_d,64287960,rrfs.t19z.esiasi.tm00.bufr_d,64287960,0,0.0
204,rrfs.t18z.ascatt.tm00.bufr_d,725496,rrfs.t18z.ascatt.tm00.bufr_d,725496,0,0.0
205,rrfs.t10z.uprair.tm00.bufr_d,60808,rrfs.t10z.uprair.tm00.bufr_d,60808,0,0.0
206,obsproc_version_for_t04z_rrfs_dump_run,124,obsproc_version_for_t04z_rrfs_dump_run,124,0,0.0
207,rrfs.t16z.1bamua.tm00.bufr_d,992256,rrfs.t16z.1bamua.tm00.bufr_d,992256,0,0.0
208,rrfs.t17z.tideg.tm00.bufr_d,76760,rrfs.t17z.tideg.tm00.bufr_d,76760,0,0.0
209,rrfs.t02z.aircft.tm00.bufr_d.listing,2792889,rrfs.t02z.aircft.tm00.bufr_d.listing,2792889,0,0.0
210,rrfs.t05z.osbuv8.tm00.bufr_d,0,rrfs.t05z.osbuv8.tm00.bufr_d,0,0,
211,rrfs.t20z.satwhr.tm00.bufr_d,26922496,rrfs.t20z.satwhr.tm00.bufr_d,26922496,0,0.0
212,rrfs.t04z.mtiasi.tm00.bufr_d,59713880,rrfs.t04z.mtiasi.tm00.bufr_d,59713880,0,0.0
213,rrfs.t04z.acqc_lst.tm00,321642,rrfs.t04z.acqc_lst.tm00,321642,0,0.0
214,rrfs.t06z.esiasi.tm00.bufr_d,40510696,rrfs.t06z.esiasi.tm00.bufr_d,40510696,0,0.0
215,rrfs.t16z.prepbufr_pre-qc.tm00,54409104,rrfs.t16z.prepbufr_pre-qc.tm00,54409104,0,0.0
216,rrfs.t21z.acqc_dup.tm00,960,rrfs.t21z.acqc_dup.tm00,960,0,0.0
217,rrfs.t14z.imssnow,19958468,rrfs.t14z.imssnow,19958468,0,0.0
218,rrfs.t13z.proflr.tm00.bufr_d.listing,357025,rrfs.t13z.proflr.tm00.bufr_d.listing,357025,0,0.0
219,rrfs.t18z.msone1.tm00.bufr_d,5824312,rrfs.t18z.msone1.tm00.bufr_d,5824312,0,0.0
220,rrfs.t12z.cqc_stnlst.tm00,476370,rrfs.t12z.cqc_stnlst.tm00,476370,0,0.0
221,rrfs.t16z.msonet.tm00.bufr_d.listing,58026149,rrfs.t16z.msonet.tm00.bufr_d.listing,58026149,0,0.0
222,rrfs.t15z.sgesprep_pathname.tm00,75,rrfs.t15z.sgesprep_pathname.tm00,75,0,0.0
223,rrfs.t14z.ascatw.tm00.bufr_d.listing,2269096,rrfs.t14z.ascatw.tm00.bufr_d.listing,2269096,0,0.0
224,obsproc_version_for_t23z_rrfs_dump_post_run,44,obsproc_version_for_t23z_rrfs_dump_post_run,44,0,0.0
225,rrfs.t18z.prepbufr.acft_profiles_sfc.tm00,1610616,rrfs.t18z.prepbufr.acft_profiles_sfc.tm00,1610616,0,0.0
